node_id,raw_id,node_type,bipartite_set,display_name,handle,channel_id,channel_name,category,source_query,source_group,view_count,degree,strength,n_comentarios_observados,n_videos_comentados,n_canales_comentados,n_autores_observados,me_gusta_recibidos,respuestas_recibidas,largo_medio_comentario
A:UCCaYwkkbQGcvFoUmothVdQQ,UCCaYwkkbQGcvFoUmothVdQQ,author,0,@OsvaldoAguirre-l3i,@OsvaldoAguirre-l3i,,,,,,,1,1,1,1,1,0,0,0,226.0
A:UCDIMztpVm7G27qBuiWuT6oQ,UCDIMztpVm7G27qBuiWuT6oQ,author,0,@lizardomorataya8274,@lizardomorataya8274,,,,,,,1,1,1,1,1,0,0,0,13.0
A:UCDPWkUX3sNNaCx-m1dV4glA,UCDPWkUX3sNNaCx-m1dV4glA,author,0,@hectoroliva949,@hectoroliva949,,,,,,,1,1,1,1,1,0,0,0,105.0
A:UCDQaQv0hr2SS_PO-CMEwVHg,UCDQaQv0hr2SS_PO-CMEwVHg,author,0,@federicosaquimux1933,@federicosaquimux1933,,,,,,,1,1,1,1,1,0,1,0,235.0
A:UCDUffaruH6dyUnUGwsTKpgg,UCDUffaruH6dyUnUGwsTKpgg,author,0,@luisletona2842,@luisletona2842,,,,,,,1,1,1,1,1,0,2,0,18.0
A:UCDftMWXQoJ6nONfY7GVOVjg,UCDftMWXQoJ6nONfY7GVOVjg,author,0,@luisgpacheco5858,@luisgpacheco5858,,,,,,,1,1,1,1,1,0,0,0,257.0
A:UCDlr1VadSucIZgZ171pRBjQ,UCDlr1VadSucIZgZ171pRBjQ,author,0,@cuabatzjj5924,@cuabatzjj5924,,,,,,,1,1,1,1,1,0,0,0,18.0
A:UCDrmf9y9nLgFY5wnA2hTuGA,UCDrmf9y9nLgFY5wnA2hTuGA,author,0,@laboratorio5528,@laboratorio5528,,,,,,,1,1,1,1,1,0,1,0,144.0
A:UCEHXl4VvvVpq-_4xC5tsbhg,UCEHXl4VvvVpq-_4xC5tsbhg,author,0,@anibalg47,@anibalg47,,,,,,,1,1,1,1,1,0,7,0,123.0
A:UCEgEQmRbtL5fwr9_DqAC--g,UCEgEQmRbtL5fwr9_DqAC--g,author,0,@ArielRodas-g5y,@ArielRodas-g5y,,,,,,,1,1,1,1,1,0,2,0,60.0
A:UCErZPJpHmLCsXs8ZWkAUupQ,UCErZPJpHmLCsXs8ZWkAUupQ,author,0,@dorisl.garciaroche7763,@dorisl.garciaroche7763,,,,,,,1,1,1,1,1,0,2,1,192.0
A:UCFFrEmn6lPYiWyElpfzTy5Q,UCFFrEmn6lPYiWyElpfzTy5Q,author,0,@denilsonlopez4083,@denilsonlopez4083,,,,,,,1,1,1,1,1,0,0,0,22.0
A:UCFOxCyF926Y9eHhMeVoWLzw,UCFOxCyF926Y9eHhMeVoWLzw,author,0,@arielsarc09,@arielsarc09,,,,,,,1,1,1,1,1,0,3,0,116.0
A:UCFUuDARXdmmIrLppEqf-rFg,UCFUuDARXdmmIrLppEqf-rFg,author,0,@allanmunoz7410,@allanmunoz7410,,,,,,,1,1,1,1,1,0,0,0,44.0
A:UCFhxtoeARHPnXXPcDrOU3Xg,UCFhxtoeARHPnXXPcDrOU3Xg,author,0,@diegoalejandrolopezmendez205,@diegoalejandrolopezmendez205,,,,,,,1,1,1,1,1,0,2,0,89.0
A:UCFoIAE8k82D6AV-8gjjKaNg,UCFoIAE8k82D6AV-8gjjKaNg,author,0,@eddymunoz9789,@eddymunoz9789,,,,,,,1,1,1,1,1,0,1,1,379.0
A:UCFxE8GbokBrBsPEKM1xrOjQ,UCFxE8GbokBrBsPEKM1xrOjQ,author,0,@JuanDavila-qd7qj,@JuanDavila-qd7qj,,,,,,,1,1,1,1,1,0,10,0,255.0
A:UCFybmWapGvBKcQod7cPPH9w,UCFybmWapGvBKcQod7cPPH9w,author,0,@vitalianochavez8382,@vitalianochavez8382,,,,,,,1,1,1,1,1,0,1,0,29.0
A:UCGGHbtfbbe0o68etrOf0qxw,UCGGHbtfbbe0o68etrOf0qxw,author,0,@karensussetteleonvargas9794,@karensussetteleonvargas9794,,,,,,,1,1,1,1,1,0,0,0,8.0
A:UCGX_UbAQOXGZknv5iqklwTA,UCGX_UbAQOXGZknv5iqklwTA,author,0,@ronaldgarcia8522,@ronaldgarcia8522,,,,,,,1,1,1,1,1,0,1,0,21.0
A:UCGZMgmM92E3njyXNe9-kjAQ,UCGZMgmM92E3njyXNe9-kjAQ,author,0,@pasionpornada,@pasionpornada,,,,,,,1,1,1,1,1,0,2,1,139.0
A:UCGj2v6Gl5bN8NSrzJMXS-CA,UCGj2v6Gl5bN8NSrzJMXS-CA,author,0,@juliogutierrez492,@juliogutierrez492,,,,,,,1,1,1,1,1,0,0,0,173.0
A:UCGm3gRBEHGRJYmtCryZLtDw,UCGm3gRBEHGRJYmtCryZLtDw,author,0,@JoséLopez-g6k,@JoséLopez-g6k,,,,,,,1,1,1,1,1,0,0,0,75.0
A:UCGqKxQS-z3NZzZF-2w338AA,UCGqKxQS-z3NZzZF-2w338AA,author,0,@samuelaguilar529,@samuelaguilar529,,,,,,,1,1,1,1,1,0,211,3,72.0
