source,target,source_raw_id,target_raw_id,weight,significado_peso,source_label,target_label
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCtsxPYw8VUsH_FfnKg-0lmw,UC-Iul5tDYH_oiAMXQH-KaaQ,UCtsxPYw8VUsH_FfnKg-0lmw,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@AlejandroPérez-b6r
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCvDwJBBY1mHK70aTEYl6rsA,UC-Iul5tDYH_oiAMXQH-KaaQ,UCvDwJBBY1mHK70aTEYl6rsA,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@cristianescobedo8296
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCwxoKK59nGCeBqB2sXfDBIw,UC-Iul5tDYH_oiAMXQH-KaaQ,UCwxoKK59nGCeBqB2sXfDBIw,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@vic-bonivideos
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCyJhqmMbsvjpoarBBStA2kg,UC-Iul5tDYH_oiAMXQH-KaaQ,UCyJhqmMbsvjpoarBBStA2kg,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@Murmullodelbarrio
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCzZ6dDCEsLMXbc5pCFXIprw,UC-Iul5tDYH_oiAMXQH-KaaQ,UCzZ6dDCEsLMXbc5pCFXIprw,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@josegil3813
A:UC-QOpE7GOxlXcHZ8b7HbQKA,A:UC1WlJfQmaIskYhP4gmWoamw,UC-QOpE7GOxlXcHZ8b7HbQKA,UC1WlJfQmaIskYhP4gmWoamw,1,numero de videos compartidos por los dos autores,@mariaalexander427,@marthareiss5434
A:UC-QOpE7GOxlXcHZ8b7HbQKA,A:UCBlm80VQ4YoV3bUJR_XhkaQ,UC-QOpE7GOxlXcHZ8b7HbQKA,UCBlm80VQ4YoV3bUJR_XhkaQ,1,numero de videos compartidos por los dos autores,@mariaalexander427,@rosadiaz6945
A:UC-QOpE7GOxlXcHZ8b7HbQKA,A:UCGZMgmM92E3njyXNe9-kjAQ,UC-QOpE7GOxlXcHZ8b7HbQKA,UCGZMgmM92E3njyXNe9-kjAQ,1,numero de videos compartidos por los dos autores,@mariaalexander427,@pasionpornada
A:UC-QOpE7GOxlXcHZ8b7HbQKA,A:UCIgoiXdIKJyUGmUoH2Lxdzg,UC-QOpE7GOxlXcHZ8b7HbQKA,UCIgoiXdIKJyUGmUoH2Lxdzg,1,numero de videos compartidos por los dos autores,@mariaalexander427,@susievidal4134
A:UC-QOpE7GOxlXcHZ8b7HbQKA,A:UCOLHH4ZpMxPYF-Q6e6wvn5A,UC-QOpE7GOxlXcHZ8b7HbQKA,UCOLHH4ZpMxPYF-Q6e6wvn5A,1,numero de videos compartidos por los dos autores,@mariaalexander427,@luisroldan7374
A:UC-QOpE7GOxlXcHZ8b7HbQKA,A:UCPNXmbOBVeC4HS-xemvcPtQ,UC-QOpE7GOxlXcHZ8b7HbQKA,UCPNXmbOBVeC4HS-xemvcPtQ,1,numero de videos compartidos por los dos autores,@mariaalexander427,@BelkisRodriguezRamirez
A:UC-QOpE7GOxlXcHZ8b7HbQKA,A:UCQMMuADgqWUOcJpLwHOzC-g,UC-QOpE7GOxlXcHZ8b7HbQKA,UCQMMuADgqWUOcJpLwHOzC-g,1,numero de videos compartidos por los dos autores,@mariaalexander427,@Ripped-Yoda
A:UC-QOpE7GOxlXcHZ8b7HbQKA,A:UCVdjCrh4tQoX3haNAZv-n5A,UC-QOpE7GOxlXcHZ8b7HbQKA,UCVdjCrh4tQoX3haNAZv-n5A,1,numero de videos compartidos por los dos autores,@mariaalexander427,@aurahernandez5646
A:UC-QOpE7GOxlXcHZ8b7HbQKA,A:UCZjm6U576nX8WOiLhmMR3bw,UC-QOpE7GOxlXcHZ8b7HbQKA,UCZjm6U576nX8WOiLhmMR3bw,1,numero de videos compartidos por los dos autores,@mariaalexander427,@MariaNavarroYT
A:UC-QOpE7GOxlXcHZ8b7HbQKA,A:UCat2qkYvqmtDNEmo2PVuhXw,UC-QOpE7GOxlXcHZ8b7HbQKA,UCat2qkYvqmtDNEmo2PVuhXw,1,numero de videos compartidos por los dos autores,@mariaalexander427,@DoraSalas-j5o
A:UC-QOpE7GOxlXcHZ8b7HbQKA,A:UCbNanjFI51cwGqMAb2rOrBw,UC-QOpE7GOxlXcHZ8b7HbQKA,UCbNanjFI51cwGqMAb2rOrBw,1,numero de videos compartidos por los dos autores,@mariaalexander427,@RosaMontesdeOca777
A:UC-QOpE7GOxlXcHZ8b7HbQKA,A:UCi2KiZq63sRq8Mfbcp-MelQ,UC-QOpE7GOxlXcHZ8b7HbQKA,UCi2KiZq63sRq8Mfbcp-MelQ,1,numero de videos compartidos por los dos autores,@mariaalexander427,@eugeneramirez4405
A:UC-QOpE7GOxlXcHZ8b7HbQKA,A:UCozFYHN0e_-vlQbX3wQGOug,UC-QOpE7GOxlXcHZ8b7HbQKA,UCozFYHN0e_-vlQbX3wQGOug,1,numero de videos compartidos por los dos autores,@mariaalexander427,@jesusguzman2321
A:UC-QOpE7GOxlXcHZ8b7HbQKA,A:UCp_dAUfv8i3LW3zWc24dLaQ,UC-QOpE7GOxlXcHZ8b7HbQKA,UCp_dAUfv8i3LW3zWc24dLaQ,1,numero de videos compartidos por los dos autores,@mariaalexander427,@MarioCortez-o6v
A:UC-QOpE7GOxlXcHZ8b7HbQKA,A:UCrqXyRsg-_hTosURZ-uvoKg,UC-QOpE7GOxlXcHZ8b7HbQKA,UCrqXyRsg-_hTosURZ-uvoKg,1,numero de videos compartidos por los dos autores,@mariaalexander427,@flornolberto2425
A:UC-QOpE7GOxlXcHZ8b7HbQKA,A:UCtiHFjFu7d5v2XxHnKFUYig,UC-QOpE7GOxlXcHZ8b7HbQKA,UCtiHFjFu7d5v2XxHnKFUYig,1,numero de videos compartidos por los dos autores,@mariaalexander427,@Paul-gf7ec
A:UC-QOpE7GOxlXcHZ8b7HbQKA,A:UCxhtlxPV8AYWaNNyU6S9H8Q,UC-QOpE7GOxlXcHZ8b7HbQKA,UCxhtlxPV8AYWaNNyU6S9H8Q,1,numero de videos compartidos por los dos autores,@mariaalexander427,@WilR-s8r
A:UC-fiZBS5Gp1eCJd9ucgWnCg,A:UC1DpqK6vaPEkBOMNvypsKYg,UC-fiZBS5Gp1eCJd9ucgWnCg,UC1DpqK6vaPEkBOMNvypsKYg,1,numero de videos compartidos por los dos autores,@Tommii.10,@HectorCarranza-u4j4o
A:UC-fiZBS5Gp1eCJd9ucgWnCg,A:UC32oozucwCF3q8d4m8fyOUg,UC-fiZBS5Gp1eCJd9ucgWnCg,UC32oozucwCF3q8d4m8fyOUg,1,numero de videos compartidos por los dos autores,@Tommii.10,@RauldejesusOlivagonzalez
A:UC-fiZBS5Gp1eCJd9ucgWnCg,A:UC3UVO7pTbeYvZ3ILEyRDskQ,UC-fiZBS5Gp1eCJd9ucgWnCg,UC3UVO7pTbeYvZ3ILEyRDskQ,1,numero de videos compartidos por los dos autores,@Tommii.10,@rosaelenaargueta79
A:UC-fiZBS5Gp1eCJd9ucgWnCg,A:UC4Avya4kmR4Q0FrfFdBozSQ,UC-fiZBS5Gp1eCJd9ucgWnCg,UC4Avya4kmR4Q0FrfFdBozSQ,1,numero de videos compartidos por los dos autores,@Tommii.10,@davidlima1348
A:UC-fiZBS5Gp1eCJd9ucgWnCg,A:UC5hvEnRUzI4Kfvwnyi4QxqQ,UC-fiZBS5Gp1eCJd9ucgWnCg,UC5hvEnRUzI4Kfvwnyi4QxqQ,1,numero de videos compartidos por los dos autores,@Tommii.10,@leonelsantizo5281
A:UC-fiZBS5Gp1eCJd9ucgWnCg,A:UC6Uj1FT5JjDSF8vudvDxPAA,UC-fiZBS5Gp1eCJd9ucgWnCg,UC6Uj1FT5JjDSF8vudvDxPAA,1,numero de videos compartidos por los dos autores,@Tommii.10,@alfredoortega9264
A:UC-fiZBS5Gp1eCJd9ucgWnCg,A:UC7dadZG7kkGYnsNu6td0FbA,UC-fiZBS5Gp1eCJd9ucgWnCg,UC7dadZG7kkGYnsNu6td0FbA,1,numero de videos compartidos por los dos autores,@Tommii.10,@lesolorzano
A:UC-fiZBS5Gp1eCJd9ucgWnCg,A:UC816IGbFCZinfYS1LRDaaHg,UC-fiZBS5Gp1eCJd9ucgWnCg,UC816IGbFCZinfYS1LRDaaHg,1,numero de videos compartidos por los dos autores,@Tommii.10,@ingenieroar
A:UC-fiZBS5Gp1eCJd9ucgWnCg,A:UC95PSMouTx2N5CbSq0hIyrQ,UC-fiZBS5Gp1eCJd9ucgWnCg,UC95PSMouTx2N5CbSq0hIyrQ,1,numero de videos compartidos por los dos autores,@Tommii.10,@lisss1908
