node_id,raw_id,node_type,display_name,handle,channel_id,channel_name,category,source_query,view_count,degree,strength,n_comentarios_observados,n_videos_comentados
A:UCkbsS_3D-pvg1iHOld9uvIg,UCkbsS_3D-pvg1iHOld9uvIg,author,@gonzalo6075,@gonzalo6075,,,,,,48,48,1,1
A:UCiC-Jn7wdgyQV4_Urk0DkWQ,UCiC-Jn7wdgyQV4_Urk0DkWQ,author,@pedroros6358,@pedroros6358,,,,,,48,48,1,1
A:UCUoYsrx1oZnCZ0usbBJn4fA,UCUoYsrx1oZnCZ0usbBJn4fA,author,@AnaDiaz-re9sq,@AnaDiaz-re9sq,,,,,,48,48,1,1
A:UCaKAjTW9MVub_clgr4DRYjQ,UCaKAjTW9MVub_clgr4DRYjQ,author,@josecastillo4390,@josecastillo4390,,,,,,48,48,1,1
A:UCe8JZoYkX5oKUZyivHYdXhw,UCe8JZoYkX5oKUZyivHYdXhw,author,@FernandoGarcia-jg1fj,@FernandoGarcia-jg1fj,,,,,,48,48,1,1
A:UCeDNEtI8_a42bZ47wJiJMwQ,UCeDNEtI8_a42bZ47wJiJMwQ,author,@EdgarcalderonCalderong,@EdgarcalderonCalderong,,,,,,48,48,1,1
A:UCgJNFj5dnxXpcMvmuhZDPxA,UCgJNFj5dnxXpcMvmuhZDPxA,author,@NataliaRodriguez-rx5mr,@NataliaRodriguez-rx5mr,,,,,,48,48,1,1
A:UCgQw_Sbq3ugruDUKsq1e0-A,UCgQw_Sbq3ugruDUKsq1e0-A,author,@marlenareano-h4t,@marlenareano-h4t,,,,,,48,48,1,1
A:UCOcUI5XkTYNMSFhZNMIPpGg,UCOcUI5XkTYNMSFhZNMIPpGg,author,@hendersonlopez3864,@hendersonlopez3864,,,,,,48,48,1,1
A:UCNpt5CQlTzNjlAKY6CJtClQ,UCNpt5CQlTzNjlAKY6CJtClQ,author,@eustaquiogomez9975,@eustaquiogomez9975,,,,,,48,48,1,1
A:UCGGHbtfbbe0o68etrOf0qxw,UCGGHbtfbbe0o68etrOf0qxw,author,@karensussetteleonvargas9794,@karensussetteleonvargas9794,,,,,,48,48,1,1
A:UCHbwIx9pmQuf7i-4_xO2EpA,UCHbwIx9pmQuf7i-4_xO2EpA,author,@caminoseternos752,@caminoseternos752,,,,,,48,48,1,1
A:UCDrmf9y9nLgFY5wnA2hTuGA,UCDrmf9y9nLgFY5wnA2hTuGA,author,@laboratorio5528,@laboratorio5528,,,,,,48,48,1,1
A:UClhMWQ7XKWywYvbRnuf8QsA,UClhMWQ7XKWywYvbRnuf8QsA,author,@EcPerez-zz9oh,@EcPerez-zz9oh,,,,,,48,48,1,1
