video_id,title,channel_id,channel_name,channel_handle_norm,category,source_query,source_group,view_count_final,publish_date,n_keywords,n_query_hits,description_len,video_url,n_comentarios_observados,n_autores_observados,n_me_gusta_observados,n_respuestas_observadas,tiene_comentarios_observados
3bU7I_ZpXUk,Congreso inicia proceso para nombrar a nuevo Fiscal General en Guatemala y suceder a Consuelo Porras,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,@PrensaLibreOficial,News & Politics,guatemala politica,topic,7465,2026-01-13T19:55:00-08:00,18,1,771,https://www.youtube.com/watch?v=3bU7I_ZpXUk,0,0,0,0,False
3S3KygWSjAQ,Himno de la Policía Nacional Civil de Guatemala,UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,@PNCdeGuatemala,News & Politics,Policia Nacional Civil Guatemala,official_gov,53021,2018-12-22T13:06:17-08:00,7,1,0,https://www.youtube.com/watch?v=3S3KygWSjAQ,0,0,0,0,False
3P2OUk7aGmc,Presidente presenta Segundo Informe Presidencial en Sesión Solemne del Congreso de la República.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,@GobiernodelaRepublicadeGuatema,Entertainment,Gobierno de la República de Guatemala,topic,2838,2026-01-14T22:47:12-08:00,0,1,121,https://www.youtube.com/watch?v=3P2OUk7aGmc,0,0,0,0,False
3LAwISMokIg,MUNICIPALIDAD DE GUATEMALA 17/12/2025,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,@ConcejalesOposición,People & Blogs,@MunicipalidaddeGuatemala-1551,topic,294,2025-12-17T16:30:34-08:00,0,1,0,https://www.youtube.com/watch?v=3LAwISMokIg,0,0,0,0,False
3-jKER3zqcA,VECINO VRS AGENTES DE LA PMT EN MAZATENANGO,UC-YGRGi0FeIA5441bGlHOPw,audioschileros,@audioschileros,People & Blogs,PMT Guatemala,official_gov,70811,2016-04-03T20:53:54-07:00,0,1,144,https://www.youtube.com/watch?v=3-jKER3zqcA,0,0,0,0,False
2p23yPpu6aQ,#Conred,UC7PbHMtfWgBFZ_SSZ8iRhQg,Noticias-FA-Gt,@NoticiasFAGt,People & Blogs,Conred Guatemala,official_gov,164,2023-10-13T17:06:28-07:00,0,1,314,https://www.youtube.com/watch?v=2p23yPpu6aQ,0,0,0,0,False
4DD1nlxWk2s,Fuertes LLUVIAS en el JABALI; a si luce una Tarde de Tormenta 😱,UCKu8ZkS9vriCetFagAGIMXA,VIVA GUATEMALA,@VIVAGUATEMALANB,Entertainment,guatemala lluvias,topic,27111,2025-07-26T14:22:51-07:00,0,1,0,https://www.youtube.com/watch?v=4DD1nlxWk2s,0,0,0,0,False
tcAQGuuo_Uc,El Ministerio de Gobernación Guatemala  brinda conferencia de prensa.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,@GobiernodelaRepublicadeGuatema,Entertainment,Ministerio de Gobernacion Guatemala,official_gov,2254,2026-03-19T21:30:27-07:00,0,1,69,https://www.youtube.com/watch?v=tcAQGuuo_Uc,0,0,0,0,False
tb6LaOWGAIo,"Guía Definitiva para viajar a Guatemala 2026 🇬🇹 Qué ver, itinerarios, precios y consejos",UC70eD0hNEwDNAfNlqfRWlGA,Welcome to el Mundo,@Welcometoelmundo,Travel & Events,guatemala seguridad,topic,104869,2025-09-07T10:00:02-07:00,22,1,3538,https://www.youtube.com/watch?v=tb6LaOWGAIo,0,0,0,0,False
tXLhWHWGaao,Breve historia política de Guatemala,UCo1g4EQqLwMO9RqEv1rCUpQ,Crónica Panamericana,@cronicapanamericana,People & Blogs,guatemala politica,topic,144134,2022-02-22T17:13:48-08:00,0,2,527,https://www.youtube.com/watch?v=tXLhWHWGaao,0,0,0,0,False
tK__qZZ-H5w,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGT,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,@GobiernodelaRepublicadeGuatema,Entertainment,@GobiernodeGuatemala,topic,866,2025-12-10T23:25:58-08:00,0,1,59,https://www.youtube.com/watch?v=tK__qZZ-H5w,0,0,0,0,False
tEfZlrP4L5I,#EnVivoDCA | Conferencia de Prensa del Gobierno de Guatemala,UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,@dcaguatemala,News & Politics,Gobierno de Guatemala,official_gov,265,2026-08-10T21:38:33-07:00,0,1,57,https://www.youtube.com/watch?v=tEfZlrP4L5I,0,0,0,0,False
