author_channel_id,author_handle,author_name,n_comentarios,n_videos_distintos,n_canales_distintos,me_gusta_recibidos,respuestas_recibidas,strength_bipartita,degree_proyeccion_autores,strength_proyeccion_autores,n_comunidades_video_tocadas,comunidades_video_tocadas,videos_comentados,titulos_videos,canales,delta_componentes_al_eliminar,aristas_video_perdidas_al_eliminar,es_puente_verificado,es_recurrente,es_multicanal,es_multicomunidad
UC4cXueR2bKGFJV0Fk76gwmA,@aluxdel4792,@aluxdel4792,1,1,1,0,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UC4kg7zuTfqQKLd2bkZrSYBA,@zoilagarcia9019,@zoilagarcia9019,1,1,1,0,0,1,6,6,1,[0],is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,0,0,False,False,False,False
UC4wq3DcbfaG6dtCqn8Oyu3w,@hugoasencio7764,@hugoasencio7764,1,1,1,1,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UC5PrBbmUlQolwqmiru7yZhw,@lazarochavez8269,@lazarochavez8269,1,1,1,0,1,1,6,6,1,[0],b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,0,0,False,False,False,False
UC5PyGvSfFM--OVKmQ3COu6g,@FreddyGmez,@FreddyGmez,1,1,1,3,0,1,24,24,1,[9],lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,0,0,False,False,False,False
UC5bG9nc_JV3FsNP2KseQiYw,@giovannirodas4836,@giovannirodas4836,1,1,1,2,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UC5fvhAfm89JH8eDFdvc0xYw,@isaidiaz2388,@isaidiaz2388,1,1,1,0,0,1,24,24,1,[9],lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,0,0,False,False,False,False
UC5hvEnRUzI4Kfvwnyi4QxqQ,@leonelsantizo5281,@leonelsantizo5281,1,1,1,2,0,1,48,48,1,[0],j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,0,0,False,False,False,False
UC5wuDq3U3vRAhOQI3D7gNdw,@allanreneramirezgonzalez534,@allanreneramirezgonzalez534,1,1,1,2,1,1,9,9,1,[2],ndAZjHqzzT8,Internet: escoger el menos malo,Quorum,0,0,False,False,False,False
UC63tFvbQ_hJhGDi2nbjssjw,@AbigailRodas-w2r,@AbigailRodas-w2r,1,1,1,2,0,1,31,31,1,[1],6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,0,0,False,False,False,False
UC650pRT-OYzny3GwOH8Cgfw,@edvinparedesherrera7632,@edvinparedesherrera7632,1,1,1,1,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
