author_channel_id,n_comentarios,n_videos,n_canales,n_me_gusta,n_respuestas_recibidas,author_handle,author_name,len_medio
UCTD6q1nyIe3Y7HhqjaMj72w,1,1,1,8,0,@JuanChang-r6k,@JuanChang-r6k,73.0
UCTP3O0rMnc8z8v8jaDQwL0w,1,1,1,1,0,@RobertoZelaya-x1v,@RobertoZelaya-x1v,261.0
UCTTILH6QCIxbTnEWxwRqs1g,1,1,1,0,0,@3762Jorge,@3762Jorge,39.0
UCThW2XNsAaBKme5PUt7n-Zg,1,1,1,0,0,@thelmamoran8565,@thelmamoran8565,269.0
UCTwSut16JyAg3mX6LVUNGqA,1,1,1,0,0,@SuperVictor2005,@SuperVictor2005,533.0
UCTylKrsqkrBKIqubMu_5N0Q,1,1,1,1,0,@edwingeovanymarroquinmarro6684,@edwingeovanymarroquinmarro6684,55.0
UCUIIIPTVDVHAXqhC_5V6lPA,1,1,1,0,0,@gorrarota,@gorrarota,299.0
UCUoYsrx1oZnCZ0usbBJn4fA,1,1,1,1,0,@AnaDiaz-re9sq,@AnaDiaz-re9sq,73.0
UCV0iizTBoOfdAFX_thfI9BA,1,1,1,0,0,@BenjaminLarios-jd8nk,@BenjaminLarios-jd8nk,114.0
UCV0lM03g5fg5pbPj97-sAtA,1,1,1,1,0,@genarodelgado3929,@genarodelgado3929,111.0
UCVQf0tzL7xRzFJsABVVULpg,1,1,1,0,0,@DennisseLopetegi,@DennisseLopetegi,266.0
UCVdjCrh4tQoX3haNAZv-n5A,1,1,1,3,1,@aurahernandez5646,@aurahernandez5646,85.0
UCVhif9eV0f8plICen2DnpKA,1,1,1,0,0,@blogarteplus,@blogarteplus,234.0
UCW-JC6lebVmf2P1dmY_L94g,1,1,1,0,0,@dinoraoroxon5771,@dinoraoroxon5771,203.0
UCW80DaMjQlEUibC98Cot-Dg,1,1,1,0,0,@rogeraldana4289,@rogeraldana4289,223.0
UCWIZUtKJ636y-4TYrNvok0g,1,1,1,5,0,@cesarandreas7824,@cesarandreas7824,118.0
UCWWkebAekppaL5b5CNlppuw,1,1,1,3,0,@ninettmartinez425,@ninettmartinez425,98.0
UCWoAVGVqCn4xtINCMOTM4jg,1,1,1,0,0,@OmarMartinez-vv8re,@OmarMartinez-vv8re,327.0
UCWvntqPQx99k_Z_skWKqNSA,1,1,1,2,1,@AntonioChiyal-x5s,@AntonioChiyal-x5s,21.0
UCXN2s7DwTJm33xO-pNkAdaA,1,1,1,0,0,@edithsan7688,@edithsan7688,12.0
UCXO1BBohNWXkK9SBDAG2ySg,1,1,1,0,0,@JBFlute92,@JBFlute92,20.0
