node_id,raw_id,node_type,display_name,handle,channel_id,channel_name,category,source_query,view_count,n_comentarios_observados,n_videos_comentados,n_canales_comentados,degree,degree_centrality,strength,betweenness_ponderada,betweenness_no_ponderada,closeness_wf,harmonic,harmonic_normalizada,pagerank,eigenvector,k_core,clustering_ponderado,componente_id,tamano_de_su_componente,es_punto_articulacion,rank_strength,rank_betweenness,rank_pagerank
A:UCGzXwyCzMzGmjmCbH3Hg01Q,UCGzXwyCzMzGmjmCbH3Hg01Q,author,@FidelZacarias-ph7dy,@FidelZacarias-ph7dy,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCHhHUjaMAZ8SiXdCUCj9DkQ,UCHhHUjaMAZ8SiXdCUCj9DkQ,author,@fredymendez1786,@fredymendez1786,,,,,,2,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCKDR0f2fu2UzWL8mBv5-BHw,UCKDR0f2fu2UzWL8mBv5-BHw,author,@mireyamorales6595,@mireyamorales6595,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCL13XhnRzbGokEkCkEOb0-g,UCL13XhnRzbGokEkCkEOb0-g,author,@raquelprado3643,@raquelprado3643,,,,,,2,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCL1MT278vSaQ83ZDkVWn1gw,UCL1MT278vSaQ83ZDkVWn1gw,author,@elmorodriguez6978,@elmorodriguez6978,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCLFdHr9BEbXHkoJopbEPLZw,UCLFdHr9BEbXHkoJopbEPLZw,author,@kanterra4584,@kanterra4584,,,,,,2,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCLggDc_a5HriXv7I1h02sOA,UCLggDc_a5HriXv7I1h02sOA,author,@guillermogonzalez5153,@guillermogonzalez5153,,,,,,2,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCN6qbfPSzFtjhqUDZ3Cv3CQ,UCN6qbfPSzFtjhqUDZ3Cv3CQ,author,@carlosmedranovelasquez6380,@carlosmedranovelasquez6380,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCNBnKqWf4d-rS4HwJRQljmQ,UCNBnKqWf4d-rS4HwJRQljmQ,author,@LE_A22,@LE_A22,,,,,,2,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCNkcuy42zEwddwEcOd_HpnA,UCNkcuy42zEwddwEcOd_HpnA,author,@vanigomez492,@vanigomez492,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCOLGv5Pf6BF2wFcwUzgcvHg,UCOLGv5Pf6BF2wFcwUzgcvHg,author,@welfrealdana5559,@welfrealdana5559,,,,,,2,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCOS8ViEkccrTZx2w2ccxotA,UCOS8ViEkccrTZx2w2ccxotA,author,@OscarHernandez-q8y,@OscarHernandez-q8y,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCOh6DaZC_x9HASnlRylEMfw,UCOh6DaZC_x9HASnlRylEMfw,author,@AndresMedina-v1s,@AndresMedina-v1s,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCQ_-LPP8JAbfkc-b1Q6NvWw,UCQ_-LPP8JAbfkc-b1Q6NvWw,author,@MegaKristenstewart,@MegaKristenstewart,,,,,,2,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCQgYjVngJRfPHDLGB5X6ZjA,UCQgYjVngJRfPHDLGB5X6ZjA,author,@oscarnavas9996,@oscarnavas9996,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCQqetiwzzmRNTM5OWuXarGQ,UCQqetiwzzmRNTM5OWuXarGQ,author,@isaiaslopezvelasquez1539,@isaiaslopezvelasquez1539,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCQtICyzWmhC5woCtbNgaSmg,UCQtICyzWmhC5woCtbNgaSmg,author,@nestormendez6216,@nestormendez6216,,,,,,2,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCQtSFINs1h6GHkpg9o5kMvg,UCQtSFINs1h6GHkpg9o5kMvg,author,@MacarioMartinezruiz,@MacarioMartinezruiz,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCRETAiYdh2dL5ZxB0_N1zDA,UCRETAiYdh2dL5ZxB0_N1zDA,author,@Joseroland21,@Joseroland21,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCRelkU8JiZBytTzebJxaa-w,UCRelkU8JiZBytTzebJxaa-w,author,@danyraymundo2942,@danyraymundo2942,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCRlCV9zSn7avAWh-9_XFWqQ,UCRlCV9zSn7avAWh-9_XFWqQ,author,@ronyarana8849,@ronyarana8849,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCSou6a2OuYGSvPjm5psquyA,UCSou6a2OuYGSvPjm5psquyA,author,@FranciscoRivera-sf7ne,@FranciscoRivera-sf7ne,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCTD6q1nyIe3Y7HhqjaMj72w,UCTD6q1nyIe3Y7HhqjaMj72w,author,@JuanChang-r6k,@JuanChang-r6k,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCTP3O0rMnc8z8v8jaDQwL0w,UCTP3O0rMnc8z8v8jaDQwL0w,author,@RobertoZelaya-x1v,@RobertoZelaya-x1v,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCThW2XNsAaBKme5PUt7n-Zg,UCThW2XNsAaBKme5PUt7n-Zg,author,@thelmamoran8565,@thelmamoran8565,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCTwSut16JyAg3mX6LVUNGqA,UCTwSut16JyAg3mX6LVUNGqA,author,@SuperVictor2005,@SuperVictor2005,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCTylKrsqkrBKIqubMu_5N0Q,UCTylKrsqkrBKIqubMu_5N0Q,author,@edwingeovanymarroquinmarro6684,@edwingeovanymarroquinmarro6684,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCUIIIPTVDVHAXqhC_5V6lPA,UCUIIIPTVDVHAXqhC_5V6lPA,author,@gorrarota,@gorrarota,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCV0iizTBoOfdAFX_thfI9BA,UCV0iizTBoOfdAFX_thfI9BA,author,@BenjaminLarios-jd8nk,@BenjaminLarios-jd8nk,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCWIZUtKJ636y-4TYrNvok0g,UCWIZUtKJ636y-4TYrNvok0g,author,@cesarandreas7824,@cesarandreas7824,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCXSkL3ejZ8qWYyF_M7s_QKA,UCXSkL3ejZ8qWYyF_M7s_QKA,author,@JacintaTzoy,@JacintaTzoy,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCXXh7yg5KUFIWylTiKVEFKQ,UCXXh7yg5KUFIWylTiKVEFKQ,author,@MrDuenderojo,@MrDuenderojo,,,,,,2,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCXgr7vXlRrsaskPdo097kGA,UCXgr7vXlRrsaskPdo097kGA,author,@Rogergh-nw4oj,@Rogergh-nw4oj,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCXr8_5WtGeipe4haOoQDgyQ,UCXr8_5WtGeipe4haOoQDgyQ,author,@amyherrera7352,@amyherrera7352,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCYN4wSQ1Sx4_LurxLlW7MPg,UCYN4wSQ1Sx4_LurxLlW7MPg,author,@belarminavillatoro6474,@belarminavillatoro6474,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCYwpX26TrCxq8TvbKGRYLXA,UCYwpX26TrCxq8TvbKGRYLXA,author,@beneficioelcaminovillacana8540,@beneficioelcaminovillacana8540,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCZ51R_9Q9C0c8I3pAWhtmjQ,UCZ51R_9Q9C0c8I3pAWhtmjQ,author,@belvettzapeta1251,@belvettzapeta1251,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
